system_1,system_2,refined_states,abstract_states,simulation_pairs,check_time_ms,check_time_s,memory_usage_bytes,memory_usage_kb,equivalent
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_0.xml,7,7,10,0,0,80,0.078125,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_1.xml,14,14,20,0,0,160,0.15625,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_2.xml,21,21,30,0,0,240,0.234375,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_3.xml,28,28,40,0,0,320,0.3125,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_4.xml,35,35,50,0,0,400,0.390625,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_5.xml,42,42,60,0,0,480,0.46875,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_6.xml,49,49,70,0,0,560,0.546875,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_7.xml,56,56,80,0,0,640,0.625,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_8.xml,63,63,90,0,0,720,0.703125,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_9.xml,70,70,100,0,0,800,0.78125,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_10.xml,77,77,110,0,0,880,0.859375,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_11.xml,84,84,120,0,0,960,0.9375,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_12.xml,91,91,130,0,0,1040,1.01562,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_13.xml,98,98,140,0,0,1120,1.09375,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_14.xml,105,105,150,0,0,1200,1.17188,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_15.xml,112,112,160,0,0,1280,1.25,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_16.xml,119,119,170,0,0,1360,1.32812,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_17.xml,126,126,180,0,0,1440,1.40625,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_18.xml,133,133,190,0,0,1520,1.48438,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_19.xml,140,140,200,0,0,1600,1.5625,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_20.xml,147,147,210,0,0,1680,1.64062,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_21.xml,154,154,220,0,0,1760,1.71875,,EQUIVALENT
/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V1.xml,/home/luca/Documents/TimedAutomata/assets/SprayingUseCase/analysis_100_1/V2_nob_22.xml,161,161,230,0,0,1840,1.79688,,EQUIVALENT
